index,Unnamed: 0,Date,Year,Month,Global Temperature Anomalies,Global Precipitation,Nino 1+2 SST,Nino 1+2 SST Anomalies,Nino 3 SST,Nino 3 SST Anomalies,Nino 3.4 SST,Nino 3.4 SST Anomalies,Nino 4 SST,Nino 4 SST Anomalies,TNI OISST,TNI HadISST,PNA,OLR,SOI,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),ONI,Season (12-Month),ENSO Phase-Intensity,high,low
120,120,1960-01-01,1960,JAN,0.04,,,,,,,,,,0.438,0.438,-0.16,,0.1,DJ,-0.07,,DJF,-0.1,1960-1961,N,32.29032258064516,17.43225806451613
121,121,1960-02-01,1960,FEB,0.15,,,,,,,,,,0.095,0.095,-0.22,,0.1,JF,0.073,,JFM,-0.1,1960-1961,N,30.27586206896552,14.055172413793104
122,122,1960-03-01,1960,MAR,-0.24,,,,,,,,,,-0.051,-0.051,-0.69,,1.0,FM,0.106,,FMA,-0.1,1960-1961,N,31.64516129032258,12.535483870967743
123,123,1960-04-01,1960,APR,-0.11,,,,,,,,,,-0.262,-0.262,-0.07,,0.8,MA,0.167,,MAM,0.0,1960-1961,N,58.56666666666667,37.91333333333333
124,124,1960-05-01,1960,MAY,-0.07,,,,,,,,,,-0.521,-0.521,0.99,,0.5,AM,0.177,,AMJ,0.0,1960-1961,N,65.54838709677419,47.41290322580645
125,125,1960-06-01,1960,JUN,-0.01,,,,,,,,,,-0.602,-0.602,1.2,,0.1,MJ,0.071,,MJJ,0.0,1960-1961,N,73.93333333333334,54.6
126,126,1960-07-01,1960,JUL,0.01,,,,,,,,,,-0.409,-0.409,1.11,,0.5,JJ,-0.078,,JJA,0.1,1960-1961,N,79.64516129032258,56.67741935483871
127,127,1960-08-01,1960,AUG,0.05,,,,,,,,,,-0.493,-0.493,1.85,,0.8,JA,-0.303,,JAS,0.2,1960-1961,N,79.41935483870968,59.25806451612903
128,128,1960-09-01,1960,SEP,0.08,,,,,,,,,,-0.487,-0.487,-0.01,,0.7,AS,-0.253,,ASO,0.3,1960-1961,N,74.46666666666667,53.63333333333333
129,129,1960-10-01,1960,OCT,0.05,,,,,,,,,,-0.507,-0.507,0.48,,0.1,SO,-0.256,,SON,0.2,1960-1961,N,61.12903225806452,38.96774193548387
130,130,1960-11-01,1960,NOV,-0.12,,,,,,,,,,-0.357,-0.357,-0.52,,0.5,ON,-0.286,,OND,0.1,1960-1961,N,48.66666666666666,31.466666666666665
131,131,1960-12-01,1960,DEC,0.23,,,,,,,,,,-0.076,-0.076,1.15,,0.8,ND,-0.197,,NDJ,0.1,1960-1961,N,30.06451612903226,14.580645161290322
132,132,1961-01-01,1961,JAN,0.11,,,,,,,,,,0.146,0.146,1.16,,-0.3,DJ,-0.011,,DJF,0.0,1961-1962,N,27.29032258064516,10.625806451612904
133,133,1961-02-01,1961,FEB,0.17,,,,,,,,,,0.325,0.325,0.17,,0.9,JF,0.016,,JFM,0.0,1961-1962,N,36.785714285714285,15.064285714285717
134,134,1961-03-01,1961,MAR,0.12,,,,,,,,,,0.468,0.468,0.28,,-1.8,FM,-0.065,,FMA,0.0,1961-1962,N,44.83870967741935,25.483870967741936
135,135,1961-04-01,1961,APR,0.15,,,,,,,,,,0.23,0.23,-1.14,,0.8,MA,0.156,,MAM,0.1,1961-1962,N,49.9,30.91333333333333
136,136,1961-05-01,1961,MAY,0.14,,,,,,,,,,-0.237,-0.237,-0.25,,0.3,AM,0.273,,AMJ,0.2,1961-1962,N,63.80645161290322,41.85806451612903
137,137,1961-06-01,1961,JUN,0.13,,,,,,,,,,-0.396,-0.396,1.84,,0.1,MJ,0.193,,MJJ,0.3,1961-1962,N,75.5,53.56666666666667
138,138,1961-07-01,1961,JUL,0.07,,,,,,,,,,-0.583,-0.583,-0.52,,0.2,JJ,0.087,,JJA,0.1,1961-1962,N,80.74193548387096,59.83870967741935
139,139,1961-08-01,1961,AUG,0.06,,,,,,,,,,-0.489,-0.489,0.47,,0.2,JA,0.108,,JAS,-0.1,1961-1962,N,78.41935483870968,59.193548387096776
140,140,1961-09-01,1961,SEP,0.07,,,,,,,,,,-0.312,-0.312,1.1,,0.1,AS,0.006,,ASO,-0.3,1961-1962,N,75.5,56.68
141,141,1961-10-01,1961,OCT,-0.01,,,,,,,,,,0.059,0.059,-1.94,,-0.3,SO,-0.396,,SON,-0.3,1961-1962,N,60.96774193548387,42.8
142,142,1961-11-01,1961,NOV,0.03,,,,,,,,,,0.371,0.371,-0.4,,0.5,ON,-0.508,,OND,-0.2,1961-1962,N,47.5,27.75333333333333
143,143,1961-12-01,1961,DEC,-0.12,,,,,,,,,,0.618,0.618,-1.54,,1.5,ND,-0.526,,NDJ,-0.2,1961-1962,N,32.41935483870968,16.690322580645166
144,144,1962-01-01,1962,JAN,0.07,,,,,,,,,,0.329,0.329,-0.74,,2.0,DJ,-0.894,,DJF,-0.2,1962-1963,N,25.096774193548388,9.24516129032258
145,145,1962-02-01,1962,FEB,0.16,,,,,,,,,,-0.102,-0.102,-0.54,,-0.3,JF,-0.891,,JFM,-0.2,1962-1963,N,27.5,11.078571428571433
146,146,1962-03-01,1962,MAR,0.16,,,,,,,,,,-0.282,-0.282,-0.71,,0.1,FM,-0.434,,FMA,-0.2,1962-1963,N,39.67741935483871,17.567741935483873
147,147,1962-04-01,1962,APR,0.05,,,,,,,,,,-0.71,-0.71,-1.5,,0.2,MA,-0.436,,MAM,-0.3,1962-1963,N,56.03333333333333,33.446666666666665
148,148,1962-05-01,1962,MAY,-0.04,,,,,,,,,,-0.999,-0.999,-1.11,,1.1,AM,-0.975,,AMJ,-0.3,1962-1963,N,71.70967741935483,52.58064516129032
149,149,1962-06-01,1962,JUN,0.03,,,,,,,,,,-0.853,-0.853,-0.97,,0.7,MJ,-0.894,,MJJ,-0.2,1962-1963,N,77.53333333333333,55.9
150,150,1962-07-01,1962,JUL,0.03,,,,,,,,,,-0.498,-0.498,-0.36,,0.1,JJ,-0.408,,JJA,0.0,1962-1963,N,78.12903225806451,57.774193548387096
151,151,1962-08-01,1962,AUG,0.0,,,,,,,,,,-0.61,-0.61,0.57,,0.6,JA,-0.408,,JAS,-0.1,1962-1963,N,80.64516129032258,58.03225806451613
152,152,1962-09-01,1962,SEP,0.03,,,,,,,,,,-0.537,-0.537,-0.83,,0.4,AS,-0.534,,ASO,-0.1,1962-1963,N,69.3,49.06
153,153,1962-10-01,1962,OCT,0.03,,,,,,,,,,-0.482,-0.482,1.33,,1.0,SO,-0.59,,SON,-0.2,1962-1963,N,61.58064516129032,42.72903225806452
154,154,1962-11-01,1962,NOV,0.11,,,,,,,,,,-0.321,-0.321,0.53,,0.3,ON,-0.616,,OND,-0.3,1962-1963,N,46.03333333333333,26.91333333333333
155,155,1962-12-01,1962,DEC,0.03,,,,,,,,,,-0.306,-0.306,-0.38,,0.2,ND,-0.3,,NDJ,-0.4,1962-1963,N,30.06451612903226,13.987096774193548
156,156,1963-01-01,1963,JAN,0.0,,,,,,,,,,-0.127,-0.127,0.09,,1.0,DJ,-0.371,,DJF,-0.4,1963-1964,ME,20.032258064516128,5.883870967741935
157,157,1963-02-01,1963,FEB,0.2,,,,,,,,,,-0.111,-0.111,0.79,,0.6,JF,-0.579,,JFM,-0.2,1963-1964,ME,24.785714285714285,7.3428571428571425
158,158,1963-03-01,1963,MAR,-0.1,,,,,,,,,,0.063,0.063,-2.04,,1.1,FM,-0.461,,FMA,0.2,1963-1964,ME,44.193548387096776,22.53548387096774
159,159,1963-04-01,1963,APR,-0.03,,,,,,,,,,0.003,0.003,-0.79,,0.8,MA,-0.233,,MAM,0.3,1963-1964,ME,58.266666666666666,34.82
160,160,1963-05-01,1963,MAY,-0.04,,,,,,,,,,-0.1,-0.1,-0.95,,0.4,AM,0.037,,AMJ,0.3,1963-1964,ME,65.87096774193549,44.47741935483871
161,161,1963-06-01,1963,JUN,0.03,,,,,,,,,,-0.251,-0.251,0.5,,-0.5,MJ,0.232,,MJJ,0.5,1963-1964,ME,80.13333333333334,56.8
162,162,1963-07-01,1963,JUL,0.08,,,,,,,,,,-0.173,-0.173,-1.1,,-0.1,JJ,0.508,,JJA,0.9,1963-1964,ME,82.41935483870968,60.80645161290322
163,163,1963-08-01,1963,AUG,0.2,,,,,,,,,,-0.367,-0.367,-1.01,,0.0,JA,0.91,,JAS,1.1,1963-1964,ME,76.64516129032258,56.193548387096776
164,164,1963-09-01,1963,SEP,0.17,,,,,,,,,,-0.625,-0.625,0.87,,-0.6,AS,1.059,,ASO,1.2,1963-1964,ME,72.63333333333334,48.266666666666666
165,165,1963-10-01,1963,OCT,0.13,,,,,,,,,,-0.722,-0.722,0.93,,-1.2,SO,1.11,,SON,1.3,1963-1964,ME,72.58064516129032,44.0516129032258
166,166,1963-11-01,1963,NOV,0.11,,,,,,,,,,-0.93,-0.93,-0.31,,-0.8,ON,1.07,,OND,1.4,1963-1964,ME,52.2,33.83333333333333
167,167,1963-12-01,1963,DEC,0.05,,,,,,,,,,-1.273,-1.273,1.46,,-1.2,ND,0.974,,NDJ,1.3,1963-1964,ME,28.83870967741936,12.361290322580643
168,168,1964-01-01,1964,JAN,-0.05,,,,,,,,,,-1.342,-1.342,-0.44,,-0.4,DJ,0.933,,DJF,1.1,1964-1965,WL,35.516129032258064,18.80645161290322
169,169,1964-02-01,1964,FEB,-0.1,,,,,,,,,,-1.304,-1.304,1.36,,0.0,JF,0.73,,JFM,0.6,1964-1965,WL,34.27586206896552,15.889655172413793
170,170,1964-03-01,1964,MAR,-0.21,,,,,,,,,,-1.543,-1.543,-1.31,,1.1,FM,0.25,,FMA,0.1,1964-1965,WL,43.516129032258064,23.225806451612907
171,171,1964-04-01,1964,APR,-0.26,,,,,,,,,,-1.424,-1.424,-1.3,,1.1,MA,-0.349,,MAM,-0.3,1964-1965,WL,59.7,37.84
172,172,1964-05-01,1964,MAY,-0.2,,,,,,,,,,-1.178,-1.178,-2.27,,0.2,AM,-0.827,,AMJ,-0.6,1964-1965,WL,74.38709677419355,50.45161290322581
173,173,1964-06-01,1964,JUN,-0.03,,,,,,,,,,-0.993,-0.993,0.27,,0.8,MJ,-1.093,,MJJ,-0.6,1964-1965,WL,81.46666666666667,57.43333333333333
174,174,1964-07-01,1964,JUL,-0.03,,,,,,,,,,-0.526,-0.526,0.2,,0.6,JJ,-1.277,,JJA,-0.6,1964-1965,WL,84.06451612903226,62.45161290322581
175,175,1964-08-01,1964,AUG,-0.12,,,,,,,,,,0.019,0.019,0.83,,1.5,JA,-1.289,,JAS,-0.7,1964-1965,WL,78.12903225806451,55.61290322580645
176,176,1964-09-01,1964,SEP,-0.24,,,,,,,,,,0.473,0.473,0.92,,1.3,AS,-1.191,,ASO,-0.8,1964-1965,WL,72.1,50.38666666666666
177,177,1964-10-01,1964,OCT,-0.28,,,,,,,,,,0.781,0.781,0.8,,1.3,SO,-1.171,,SON,-0.8,1964-1965,WL,59.0,33.122580645161285
178,178,1964-11-01,1964,NOV,-0.24,,,,,,,,,,0.909,0.909,-0.78,,0.2,ON,-1.059,,OND,-0.8,1964-1965,WL,51.9,31.313333333333333
179,179,1964-12-01,1964,DEC,-0.24,,,,,,,,,,0.879,0.879,-2.03,,-0.3,ND,-0.895,,NDJ,-0.8,1964-1965,WL,33.0,18.780645161290323
180,180,1965-01-01,1965,JAN,-0.07,,,,,,,,,,1.119,1.119,-0.92,,-0.4,DJ,-0.66,,DJF,-0.6,1965-1966,SE,28.483870967741936,14.32258064516129
181,181,1965-02-01,1965,FEB,-0.16,,,,,,,,,,1.393,1.393,-1.03,,0.4,JF,-0.333,,JFM,-0.3,1965-1966,SE,30.857142857142858,14.742857142857144
182,182,1965-03-01,1965,MAR,-0.13,,,,,,,,,,1.838,1.838,-0.8,,0.8,FM,-0.132,,FMA,-0.1,1965-1966,SE,32.61290322580645,16.116129032258062
