Winter_Year,ENSO_encoded
2001,0.0
2002,-1.3333333333333333
2003,-0.6666666666666666
2004,-0.6666666666666666
2005,0.3333333333333333
2006,-0.3333333333333333
2007,1.6666666666666667
2008,1.6666666666666667
2009,-1.0
2010,1.3333333333333333
2011,2.3333333333333335
2012,0.6666666666666666
2013,0.0
2014,-0.6666666666666666
2015,-3.0
2016,-0.6666666666666666
2017,1.0
2018,-0.3333333333333333
2019,-0.3333333333333333
2020,1.3333333333333333
2021,2.0
2022,1.3333333333333333
2023,-1.6666666666666667
2024,-1.0
2025,0.0
